name,faculty,department,faculty_type,date_recommend,date_recommend_pass,date_general,date_general_pass,location,rubi,is_there_recommend,is_there_general,other_faculty,math,english,physics,chemistry,biology,special,paper,integration,japanese,practical,external_english,interview,url,main,note
大阪大学,工学部,応用自然科学科(応用化学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,応用自然科学科(応用生物工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,応用自然科学科(精密科学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,応用自然科学科(応用物理学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,応用理工学科(機械工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,応用理工学科(マテリアル生産科学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,電子情報工学科(電気電子工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,電子情報工学科(情報通信工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,環境・エネルギー工学科(環境工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,環境・エネルギー工学科(エネルギー量子工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,地球総合工学科(船舶海洋工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,地球総合工学科(社会基盤工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,工学部,地球総合工学科(建築工学科目),engineering,,,8.01,8.07,大阪府,おおさかだいがく,,1,1,1,1,,,,1,,,,,,1,https://www.eng.osaka-u.ac.jp/ja/,,
大阪大学,法学部,法学科,law,,,11.09,12.18,大阪府,おおさかだいがく,,1,1,,1,,,,,1,,,,,,http://www.law.osaka-u.ac.jp/,,R2
大阪大学,経済学部,経済・経営学科,economics,,,"11.09,11.23","11.13,11.29",大阪府,おおさかだいがく,,1,1,,1,,,,1,,,,,,1,https://www.econ.osaka-u.ac.jp/,,R2
大阪大学,人間科学部,人間科学科,others,,,11.05,11.11,大阪府,おおさかだいがく,,1,1,,1,,,,1,1,,,,,1,https://www.hus.osaka-u.ac.jp/,,R2
大阪大学,外国語学部,外国語学科,others,,,11.16,12.16,大阪府,おおさかだいがく,,1,1,,,,,,,,,,,1,1,http://www.sfs.osaka-u.ac.jp/,,R2
京都大学,工学部,地球工学科,engineering,,,8.27,8.30,京都府,きょうとだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.t.kyoto-u.ac.jp/ja,,R2
京都大学,工学部,建築学科,engineering,,,8.27,8.30,京都府,きょうとだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.t.kyoto-u.ac.jp/ja,,R2
京都大学,工学部,物理工学科,engineering,,,8.27,8.30,京都府,きょうとだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.t.kyoto-u.ac.jp/ja,,R2
京都大学,工学部,電気電子工学科,engineering,,,8.27,8.30,京都府,きょうとだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.t.kyoto-u.ac.jp/ja,,R2
京都大学,工学部,情報工学科,engineering,,,8.27,8.30,京都府,きょうとだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.t.kyoto-u.ac.jp/ja,1,R2
京都大学,工学部,工業化学科,engineering,,,8.27,8.30,京都府,きょうとだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.t.kyoto-u.ac.jp/ja,,R2
京都大学,経済学部,経済経営学科,economics,,,11.08,"10.24,12.16",京都府,きょうとだいがく,,1,1,,,,,,1,,,,,1,,http://www.econ.kyoto-u.ac.jp/,,R2
京都大学,法学部,学科組織無し,law,,,10.26,12.02,京都府,きょうとだいがく,,1,1,,,,,,,1,,,,1,,https://law.kyoto-u.ac.jp/,,R2
九州大学,工学部,建築学科,engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,1,1,,1,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,電気情報工学科,engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,,,,1,,,,,,1,http://www.eng.kyushu-u.ac.jp/,1,
九州大学,工学部,物質科学工学科,engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,1,1,,,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,地球環境工学科(建設都市工学コース),engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,,,,1,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,地球環境工学科(船舶海洋システム工学コース),engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,1,1,,,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,地球環境工学科(地球システム工学コース),engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,1,1,,,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,エネルギー科学科,engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,1,1,,,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,機械航空工学科(機械工学コース),engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,,,,1,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,工学部,機械航空工学科(航空宇宙工学コース),engineering,6.06,6.25,8.18,9.07,福岡県,きゅうしゅうだいがく,1,1,1,1,1,1,1,,,,,,,,1,http://www.eng.kyushu-u.ac.jp/,,
九州大学,理学部,物理学科,science,,,7.06,7.19,福岡県,きゅうしゅうだいがく,,1,1,,1,1,,,,,,,,,1,https://www.sci.kyushu-u.ac.jp/,,R2
九州大学,理学部,数学科,science,,,7.06,7.19,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,,,,,,1,https://www.sci.kyushu-u.ac.jp/,,R2
九州大学,芸術工学部,環境設計学科,engineering,,,7.04,7.27,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,,,,,1,1,http://www.design.kyushu-u.ac.jp/,,
九州大学,芸術工学部,工業設計学科,engineering,,,7.04,7.27,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,,,,1,1,1,http://www.design.kyushu-u.ac.jp/,,
九州大学,芸術工学部,画像設計学科,engineering,,,7.04,7.27,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,,,,1,1,1,http://www.design.kyushu-u.ac.jp/,,
九州大学,芸術工学部,音響設計学科,engineering,,,7.04,7.27,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,,,,,1,1,http://www.design.kyushu-u.ac.jp/,,
九州大学,芸術工学部,芸術情報設計学科,engineering,,,7.04,7.27,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,,,,,1,1,http://www.design.kyushu-u.ac.jp/,,
九州大学,経済学部,経済工学科,economics,6.29,7.24,"9.05,9.19",10.23,福岡県,きゅうしゅうだいがく,1,1,1,1,,,,,,1,,,,,1,https://www.econ.kyushu-u.ac.jp/,,R2
九州大学,経済学部,経済・経営学科,economics,,,"9.05,9.19",10.23,福岡県,きゅうしゅうだいがく,,1,1,1,,,,,,1,,,,,1,https://www.econ.kyushu-u.ac.jp/,,R2
東北大学,工学部,機械知能・航空工学科,engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.eng.tohoku.ac.jp/,,R2
東北大学,工学部,電気情報物理工学科(応用物理学コース),engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.eng.tohoku.ac.jp/,1,R2
東北大学,工学部,電気情報物理工学科(電気情報関係5コース),engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.eng.tohoku.ac.jp/,,R2
東北大学,工学部,化学・バイオ工学科,engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,1,,,,,1,1,https://www.eng.tohoku.ac.jp/,,R2
東北大学,工学部,材料科学総合学科,engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.eng.tohoku.ac.jp/,,R2
東北大学,工学部,建築・社会環境工学科(土木関係3コース),engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.eng.tohoku.ac.jp/,,R2
東北大学,工学部,建築・社会環境工学科(建築関係2コース),engineering,,,8.20,8.28,宮城県,とうほくだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.eng.tohoku.ac.jp/,,R2
東北大学,理学部,数学科,science,,,9.06,9.12,宮城県,とうほくだいがく,,1,1,1,1,,,,,,,,,,1,http://www.sci.tohoku.ac.jp/,,R2
東北大学,理学部,物理学科,science,,,9.05,9.12,宮城県,とうほくだいがく,,1,1,,,1,,,,,,,,,1,http://www.sci.tohoku.ac.jp/,,R2
東北大学,理学部,宇宙地球物理学科,science,,,9.05,9.12,宮城県,とうほくだいがく,,1,1,,,1,,,,,,,,,1,http://www.sci.tohoku.ac.jp/,,R2
東北大学,理学部,化学科,science,,,9.05,9.12,宮城県,とうほくだいがく,,1,1,,,,1,,,,,,,,1,http://www.sci.tohoku.ac.jp/,,R2
東北大学,理学部,地球科学系,science,,,9.05,9.12,宮城県,とうほくだいがく,,1,1,,1,,,,,,,,,,1,http://www.sci.tohoku.ac.jp/,,R2
東北大学,理学部,生物学科,science,,,9.05,9.12,宮城県,とうほくだいがく,,1,1,,1,,,1,,,,,,,1,http://www.sci.tohoku.ac.jp/,,R2
東北大学,経済学部,経済学科,economics,,,"11.08,11.21","11.08,12.13",宮城県,とうほくだいがく,,1,1,,,,,,1,,,,,1,,https://www.econ.tohoku.ac.jp/econ/,,R2
東北大学,経済学部,経営学科,economics,,,"11.08,11.21","11.08,12.13",宮城県,とうほくだいがく,,1,1,,,,,,1,,,,,1,,https://www.econ.tohoku.ac.jp/econ/,,R2
名古屋大学,工学部,化学生命工学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,,
名古屋大学,工学部,物理工学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,,
名古屋大学,工学部,マテリアル工学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,,
名古屋大学,工学部,電気電子情報工学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,1,
名古屋大学,工学部,機械・航空宇宙工学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,,
名古屋大学,工学部,エネルギー理工学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,,
名古屋大学,工学部,環境土木・建築学科,engineering,,,7.3,8.20,愛知県,なごやだいがく,,1,1,1,,1,1,,,,,,,1,1,https://www.engg.nagoya-u.ac.jp/,,
名古屋大学,情報学部,自然情報学科,engineering,,,8.21,9.02,愛知県,なごやだいがく,,1,1,1,,,,,,1,,,,1,1,https://www.i.nagoya-u.ac.jp/,,R2
名古屋大学,情報学部,人間・社会情報学科,engineering,,,8.21,9.02,愛知県,なごやだいがく,,1,1,,,,,,,1,,,,1,1,https://www.i.nagoya-u.ac.jp/,,R2
名古屋大学,情報学部,コンピュータ科学科,engineering,,,8.21,9.02,愛知県,なごやだいがく,,1,1,1,,,,,1,,,,,1,1,https://www.i.nagoya-u.ac.jp/,,R2
名古屋大学,経済学部,経済学科,economics,,,11.01,11.13,愛知県,なごやだいがく,,1,1,,,,,,1,,,,,1,,http://www2.soec.nagoya-u.ac.jp/,,R2
名古屋大学,経済学部,経営学科,economics,,,11.01,11.13,愛知県,なごやだいがく,,1,1,,,,,,1,,,,,1,,http://www2.soec.nagoya-u.ac.jp/,,R2
名古屋大学,法学部,法律・政治学科,law,,,"10.23,11.06","10.30,11.22",愛知県,なごやだいがく,,1,1,,1,,,,,1,,,,,1,https://www.law.nagoya-u.ac.jp/,,R2
名古屋大学,教育学部,人間発達科学科,others,,,"11.01,11.12","11.06,11.13",愛知県,なごやだいがく,,1,1,,1,,,,,1,,,,,1,http://www.educa.nagoya-u.ac.jp/,,R2
名古屋大学,文学部,人文学科,literature,,,"8.28,9.04","8.29,9.06",愛知県,なごやだいがく,,1,1,,1,,,,,1,,,,,1,https://www.lit.nagoya-u.ac.jp/,,R2
北海道大学,理学部,数学科,science,,,8.27,9.05,北海道,ほっかいどうだいがく,,1,1,1,,,,,,,,,,,1,https://www2.sci.hokudai.ac.jp/,,R2
北海道大学,理学部,物理学科,science,,,8.27,9.05,北海道,ほっかいどうだいがく,,1,1,,,1,,,,,,,,,1,https://www2.sci.hokudai.ac.jp/,,R2
北海道大学,理学部,地球惑星学科,science,,,8.27,9.05,北海道,ほっかいどうだいがく,,1,1,1,1,,,,,,,,,,1,https://www2.sci.hokudai.ac.jp/,,R2
北海道大学,教育学部,教育学科,others,,,11.24,12.09,北海道,ほっかいどうだいがく,,1,1,,,,,,,,1,,,,1,https://www.edu.hokudai.ac.jp/,,R2
北海道大学,法学部,法学課程,law,,,11.09,12.06,北海道,ほっかいどうだいがく,,1,1,,1,,,,1,,,,,,,https://www.juris.hokudai.ac.jp/,,R2
北海道大学,工学部,応用理工系学科,engineering,6.21,7.03,8.18,9.07,北海道,ほっかいどうだいがく,1,1,1,1,,1,1,,,,,,,1,1,https://www.eng.hokudai.ac.jp/,,
北海道大学,工学部,情報エレクトロニクス学科,engineering,6.21,7.03,8.18,9.07,北海道,ほっかいどうだいがく,1,1,1,1,,1,1,,,,,,,1,1,https://www.eng.hokudai.ac.jp/,1,
北海道大学,工学部,機械知能工学化,engineering,6.21,7.03,8.18,9.07,北海道,ほっかいどうだいがく,1,1,1,1,,1,1,,,,,,,1,1,https://www.eng.hokudai.ac.jp/,,
北海道大学,工学部,環境社会工学科,engineering,6.21,7.03,8.18,9.07,北海道,ほっかいどうだいがく,1,1,1,1,,1,1,,,,,,,1,1,https://www.eng.hokudai.ac.jp/,,
北海道大学,工学部,環境社会工学科,engineering,6.21,7.03,8.18,9.07,北海道,ほっかいどうだいがく,1,1,1,1,,1,1,,,,,,,1,1,https://www.eng.hokudai.ac.jp/,,
筑波大学,生命環境学群,生物学類,others,,,7.13,7.24,茨城県,つくばだいがく,,1,1,,,,,,1,,,,,1,1,https://www.life.tsukuba.ac.jp/life-colleges/,,R2
